Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
2485000,AM,Vanuatu Broadcasting and Television Corporation,1000,1900,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3195000,AM,"WNQM, Inc.",2100,0100,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3195000,AM,"WNQM, Inc.",2100,0100,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3195000,AM,"WNQM, Inc.",2100,0100,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",0100,1200,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",0100,1200,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",0100,1200,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3215000,AM,"WNQM, Inc.",2100,1200,English,"Nashville, TN",United States,1234567,,100,46,United States,HFCC
3265000,AM,Allan H. Weiner,0000,2400,English,"Monticello, ME",United States,1234567,,50,245,United States,HFCC
3325000,AM,Radio Republic of Indonesia,1000,1100,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1100,1200,Mandarin Chinese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1200,1300,Japanese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1300,1400,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1400,1500,Indonesian,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1500,1600,Mandarin Chinese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1600,1700,Arabic,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1800,1900,Spanish,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,1900,2000,German,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,2000,2100,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,2100,2200,French,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,2200,2300,English,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3325000,AM,Radio Republic of Indonesia,2300,2400,Japanese,Palangkaraya,Indonesia,1234567,,40,0,Indonesia,HFCC
3900000,AM,China National Radio,0900,1440,Chinese,Hailar,China,1234567,,10,242,China,HFCC
3900000,AM,China National Radio,2130,0700,Chinese,Hailar,China,1234567,,10,242,China,HFCC
3930000,AM,The Overcomer Ministry,0000,2400,English,Sofia,Bulgaria,1234567,,20,0,Bulgaria,HFCC
3945000,AM,Vanuatu Broadcasting and Television Corporation,0600,1100,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3945000,AM,Vanuatu Broadcasting and Television Corporation,1900,2000,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
3950000,AM,China National Radio,1208,1800,Chinese,Urumqi,China,1234567,,100,0,China,HFCC
3950000,AM,China National Radio,2330,0300,Chinese,Urumqi,China,1234567,,100,0,China,HFCC
3955000,AM,BBC Worldservice,0459,0600,English,Woofferton,United Kingdom,1234567,,100,114,United Kingdom,HFCC
3955000,AM,Channel 292 (Germany),0700,2000,German,Rohrbach,Germany,1234567,,1,0,Germany,HFCC
3955000,AM,Korean Broadcasting System,2000,2100,German,Woofferton,United Kingdom,1234567,,250,114,United Kingdom,HFCC
3955000,AM,Channel 292 (Germany),2200,0459,German,Rohrbach,Germany,1234567,,1,0,Germany,HFCC
3965000,AM,World Music Radio,0000,2359,Multiple languages,Hvidovre,Denmark,1234567,,2,0,Denmark,HFCC
3965000,AM,Radio Delta International,0000,2400,Dutch,Elburg,Netherlands,1234567,,5,0,Netherlands,HFCC
3975000,AM,Shortwave Radio Services (Germany),0000,2400,Multiple languages,Winsen,Germany,1234567,,5,0,Germany,HFCC
3985000,AM,Radio Delta International,0000,2400,Dutch,Elburg,Netherlands,1234567,,5,0,Netherlands,HFCC
3985000,AM,China National Radio,1200,1605,Chinese,Geermu,China,1234567,,100,0,China,HFCC
3985000,AM,Radio Horizon,1600,2400,Dutch,Ankum,Netherlands,1234567,,5,0,Netherlands,HFCC
3990000,AM,China National Radio,0355,0620,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,1025,1345,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,1200,1800,Uighur,Urumqi,China,1234567,,100,0,China,HFCC
3990000,AM,China National Radio,2255,0120,Chinese,Lanzhou,China,1234567,,10,0,China,HFCC
3990000,AM,China National Radio,2330,0300,Uighur,Urumqi,China,1234567,,100,0,China,HFCC
3995000,AM,Voice of the Andes,0500,2400,Multiple languages,Weenermoor,Germany,1234567,,1,90,Germany,HFCC
4500000,AM,China National Radio,0000,0330,Mongolian,Urumqi,China,1234567,,50,0,China,HFCC
4500000,AM,China National Radio,1230,1800,Mongolian,Urumqi,China,1234567,,50,0,China,HFCC
4750000,AM,China National Radio,1958,1730,Chinese,Hailar,China,1234567,,10,192,China,HFCC
4755000,AM,Radio Republic of Indonesia,1000,1100,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1100,1200,Mandarin Chinese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1200,1300,Japanese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1300,1400,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1400,1500,Indonesian,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1500,1600,Mandarin Chinese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1600,1700,Arabic,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1800,1900,Spanish,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,1900,2000,German,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,2000,2100,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,2100,2200,French,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,2200,2300,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,2300,2400,Japanese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4760000,AM,All India Radio,0130,0410,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,1030,1700,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,1200,1630,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4800000,AM,China National Radio,2025,1805,Chinese,Geermu,China,1234567,,100,0,China,HFCC
4820000,AM,China National Radio,2000,1800,Chinese,Lhasa,China,1234567,,100,0,China,HFCC
4830000,AM,Mongol Radio & Television,2300,1600,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4840000,AM,"WNQM, Inc.",0000,1200,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",0000,1200,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",0000,1200,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4850000,AM,China National Radio,0000,0328,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4850000,AM,China National Radio,1158,1800,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4895000,AM,Mongol Radio & Television,2300,1600,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4905000,AM,China National Radio,2050,1805,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4920000,AM,China National Radio,2050,1805,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4930000,AM,United States Agency for Global Media (USAGM),0530,0700,English,Moepeng Hill,Botswana,36,,100,20,Botswana,HFCC
4930000,AM,United States Agency for Global Media (USAGM),1200,1400,English,Moepeng Hill,Botswana,36,,100,20,Botswana,HFCC
4980000,AM,China National Radio,1200,1800,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4980000,AM,China National Radio,2330,0300,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4990000,AM,China National Radio,0300,0500,Chinese,Wuhan,China,1234567,,2,0,China,HFCC
