Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
16300,,VTX1 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
16400,,JXN Noviken Sub comms,0000,2400,,,Norway,,North Atlantic Ocean,,,Norway,EiBi
17000,,VTX2 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
18100,,RDL Russian Navy,0000,2400,Morse,,Russian Federation,,Russian Federation,,,Russian Federation,EiBi
18200,,VTX3 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
19200,,VTX4 Indian Navy,0000,2400,,,India,,South Asia,,,India,EiBi
19580,,GBZ Anthorn,0000,2400,,,United Kingdom,,North Atlantic Ocean,,,United Kingdom,EiBi
20500,,RJH69 Molodechno,0741,0747,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
20500,,RJH66 Bishkek,0441,0447,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
20500,,RJH66 Bishkek,1041,1047,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
20500,,RJH63 Krasnodar,1131,1141,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
20500,,RJH77 Arkhangelsk,0941,0947,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
20500,,RJH99 Nizhni Novgorod,0841,0847,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,,RJH69 Molodechno,0735,0741,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
23000,,RJH66 Bishkek,0435,0441,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
23000,,RJH66 Bishkek,1035,1041,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
23000,,RJH63 Krasnodar,1126,1131,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,,RJH77 Arkhangelsk,0935,0941,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
23000,,RJH99 Nizhni Novgorod,0835,0841,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,,RJH69 Molodechno,0700,0725,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25000,,RJH66 Bishkek,0400,0425,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25000,,RJH66 Bishkek,1000,1025,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25000,,RJH63 Krasnodar,1100,1120,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,,RJH77 Arkhangelsk,0900,0925,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25000,,RJH99 Nizhni Novgorod,0800,0825,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,,RJH69 Molodechno,0725,0730,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25100,,RJH66 Bishkek,0425,0430,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25100,,RJH66 Bishkek,1025,1030,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25100,,RJH63 Krasnodar,1120,1123,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,,RJH77 Arkhangelsk,0925,0930,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25100,,RJH99 Nizhni Novgorod,0825,0830,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25500,,RJH69 Molodechno,0730,0735,Time Signal,,Belarus,,East Europe,,,Belarus,EiBi
25500,,RJH66 Bishkek,0430,0435,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25500,,RJH66 Bishkek,1030,1035,Time Signal,,Kyrgyzstan,,Central Asia,,,Kyrgyzstan,EiBi
25500,,RJH63 Krasnodar,1123,1126,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
25500,,RJH77 Arkhangelsk,0930,0935,Time Signal,,Russian Federation,,East Europe,,,Russian Federation,EiBi
